0.100000	-nan	-nan	0.000052	-0.000000	-0.000022	0.025978	-0.021649	0.531052	-0.000011	-nan	-nan	-nan	-nan	-nan	-nan	0.531000	0.000000
13.100000	1.879622	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	45.981621	-28.120081	5.199153	-1.776971	3.455583	48.345291	0.531000	0.462465
13.200000	1.879622	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	45.981621	-28.120081	5.199153	-1.776971	3.455583	48.345291	0.531000	0.462465
13.300000	1.896911	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	46.513508	-28.445354	5.259293	-1.797525	3.455583	48.904518	0.531000	0.460517
13.400000	1.896911	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	46.513508	-28.445354	5.259293	-1.797525	3.455583	48.904518	0.531000	0.460517
13.500000	1.869418	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	44.751583	-28.202940	5.163658	-1.833022	3.464521	47.190865	0.531000	0.466430
13.600000	1.869418	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	44.751583	-28.202940	5.163658	-1.833022	3.464521	47.190865	0.531000	0.466430
13.700000	1.912319	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	45.134369	-29.291203	5.312892	-1.953767	3.473455	47.739151	0.531000	0.464556
13.800000	1.912319	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	45.134369	-29.291203	5.312892	-1.953767	3.473455	47.739151	0.531000	0.464556
13.900000	1.903224	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	44.865616	-29.116787	5.281257	-1.942133	3.473455	47.454887	0.531000	0.465530
14.000000	1.903224	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	44.865616	-29.116787	5.281257	-1.942133	3.473455	47.454887	0.531000	0.465530
14.100000	1.913908	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	46.092857	-29.048227	5.318421	-1.887960	3.464521	48.605247	0.531000	0.461562
14.200000	1.913908	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	46.092857	-29.048227	5.318421	-1.887960	3.464521	48.605247	0.531000	0.461562
14.300000	1.922688	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	46.357548	-29.215036	5.348962	-1.898802	3.464521	48.884365	0.531000	0.460588
14.400000	1.922688	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	46.357548	-29.215036	5.348962	-1.898802	3.464521	48.884365	0.531000	0.460588
14.500000	1.973735	0.000000	-0.511509	0.069265	-0.506493	0.000000	0.000000	-0.047175	-0.188330	46.033623	-30.743757	5.526533	-2.100481	3.482387	48.842583	0.531000	0.460734
